institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
University of Wollongong,Australia,Oceania,Large,Full Comprehensive,Very High,Public,167,162,50.3,29.5,24.5,17,94.6,91.8,56.3,89,18.3,93.9,-5
Ghent University,Belgium,Europe,Extra Large,Full Comprehensive,Very High,Public,169,159,50.1,53.2,24.8,78.5,21.5,79.7,21.4,99.5,72.9,98.3,-10
The University of Exeter,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,169,153,50.1,42.9,45,30.2,42.5,91,72.2,95.1,30.1,97.1,-16
University of Cape Town,South Africa,Africa,Large,Full Comprehensive,Very High,Public,171,173,50,45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8,95.6,2
University of Reading,United Kingdom,Europe,Large,Comprehensive,Very High,Public,172,169,49.9,32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8,94,-3
Hokkaido University,Japan,Asia,Large,Full Comprehensive,Very High,Public,173,196,49.8,59,63.3,76.2,26,18.7,12.1,77.7,15.5,78.1,23
Curtin University,Australia,Oceania,Large,Comprehensive,Very High,Public,174,183,49.3,33.1,27.7,15.7,84.7,100,24.3,94.2,31,90.7,9
Universitat Autònoma de Barcelona,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,175,149,49.2,64,35.8,11.5,59.5,18.5,16.5,93.1,24,86.7,-26
McMaster University,Canada,Americas,Large,Full Comprehensive,Very High,Public,176,189,49,39.5,34.2,63.8,35.6,96.2,56.7,82.6,49.9,91.9,13
Washington University in St. Louis,United States,Americas,Large,Full Comprehensive,Very High,Private,171,154,49.9,36.3,12,99.7,47.7,85.4,72.4,83.6,31.9,86.7,-17
University of California  Santa Barbara (UCSB),United States,Americas,Large,Comprehensive,Very High,Public,178,163,48.9,52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9,28.4,-15
The University of Newcastle  Australia (UON),Australia,Oceania,Large,Full Comprehensive,Very High,Public,179,173,48.7,28.3,24.5,28.7,91.7,99.9,24.2,82,14.8,92.4,-6
Universidad de los Andes,Colombia,Americas,Large,Full Comprehensive,High,Private,179,198,48.7,67.7,88.4,14.2,5.9,22.8,1.9,55.2,98.2,80,19
Universiti Teknologi Malaysia,Malaysia,Asia,Large,Comprehensive,Very High,Public,181,188,48.5,48.6,59.6,46,40.5,14.1,86.9,82.9,18,52.1,7
Waseda University,Japan,Asia,Extra Large,Comprehensive,Very High,Private,181,199,48.5,60.7,96.1,23.5,3.8,27.9,28,66.4,83.7,56.1,18
Hamad Bin Khalifa University,Qatar,Asia,Small,Foucsed,Very High,Public,183,310,48.3,12.9,4.7,99.9,100,100,100,74.3,6,2.6,127
University of York,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,184,167,48.2,42.9,30.1,43,40.1,87.8,75.6,92.5,23.5,97.4,-17
Tecnológico de Monterrey,Mexico,Americas,Extra Large,Full Comprehensive,High,Private,185,184,48.1,53.8,91.4,62.5,2.4,20.8,10.6,56.6,96.1,54.4,-1
Cardiff University,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,186,154,47.6,46.8,43.2,36.1,30,82.8,67.7,92.3,18.9,96,-32
École Normale Supérieure de Lyon,France,Europe,Small,Comprehensive,Very High,Public,187,184,47.5,29.8,16.3,97,93.5,59,11.7,70.3,14,6.6,-3
Keio University,Japan,Asia,Extra Large,Full Comprehensive,Very High,Private,188,214,47.4,53,91.6,57.2,5.1,9.4,10.2,57.5,91.4,59,26
University of Ottawa,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,189,203,47.3,26.2,23.3,3.5,81.3,91.7,77.8,93,39.8,92.9,14
Technische Universität Wien,Austria,Europe,Medium,Foucsed,Very High,Public,190,184,47.2,33.9,50.4,12.5,73.8,85.5,90.4,71.6,19.1,11.3,-6
Universität Hamburg,Germany,Europe,Large,Foucsed,Very High,Public,191,205,47.1,50.7,35.7,16.5,54.7,40.2,20.4,93.4,42.8,90.6,14
Tongji University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,192,216,46.9,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24,81.4,24
Queen's University at Kingston,Canada,Americas,Large,Full Comprehensive,Very High,Public,193,209,46.8,40.8,56.7,5.4,42.6,69.2,26.6,71.2,87.1,93.8,16
University of Gothenburg,Sweden,Europe,Large,Full Comprehensive,Very High,Public,194,187,46.7,35.4,18.3,60.9,33.6,90,78.2,94.2,63.1,92.8,-7
Wuhan University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,194,194,46.7,39.2,40.5,14,91.9,39.2,4.9,78.2,46.5,22.2,0
Emory University,United States,Americas,Large,Full Comprehensive,Very High,Private,196,166,46.6,25.2,19,93.8,78.4,52.2,33.9,85.6,22.8,37,-30
Deakin University,Australia,Oceania,Extra Large,Full Comprehensive,Very High,Public,197,233,46.4,31.3,23.9,4.6,73.6,96.4,63.8,82.7,36.8,93.7,36
Universidad Autónoma de Madrid,Spain,Europe,Extra Large,Full Comprehensive,Very High,Public,198,199,46.3,61,64.3,29.1,21,7.7,10.4,92,43.1,79.6,1
University of Calgary,Canada,Americas,Extra Large,Full Comprehensive,Very High,Public,198,182,46.3,37.9,44.5,18.1,40.3,77.7,66.2,85.2,53.3,93.3,-16
Arizona State University,United States,Americas,Extra Large,Comprehensive,Very High,Public,200,179,46.2,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3,-21
King Saud University,Saudi Arabia,Asia,Extra Large,Full Comprehensive,Very High,Public,200,203,46.2,39.4,28.7,54.3,40,99.4,15,95.1,99,33,3
American University of Sharjah,United Arab Emirates,Asia,Medium,Comprehensive,Very High,Private,332,364,33.6,20.9,38.6,19.1,23.9,100,100,48.1,48,16.5,32
Université catholique de Louvain (UCLouvain),Belgium,Europe,Large,Full Comprehensive,Very High,Private,203,180,46,48.4,25.9,4.6,55,91,47.6,89.9,76.4,27.1,-23
University of Minnesota Twin Cities,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,203,195,46,56.8,33.1,32.4,41.9,7.7,8.7,91.7,52.5,96.5,-8
Ecole des Ponts ParisTech,France,Europe,Small,Foucsed,Very High,Public,205,192,45.8,8.9,58.5,99,62.6,43.5,96.5,37.3,59.5,10.8,-13
Queen's University Belfast,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,206,202,45.7,35.4,33.6,28.6,40.6,100,98.2,92.8,9.9,88.9,-4
Universitas Indonesia,Indonesia,Asia,Extra Large,Full Comprehensive,Very High,Public,206,237,45.7,53.8,79.2,55.7,2.1,88.3,7.1,37.2,77.3,32.7,31
The Ohio State University,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,208,151,45.6,58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3,50.8,-57
Tel Aviv University,Israel,Asia,Large,Full Comprehensive,Very High,Public,209,215,45.2,32,18.6,4.2,99.4,39.7,7,77.9,88.4,46.2,6
National Tsing Hua University,Taiwan,Asia,Medium,Comprehensive,Very High,Public,210,233,45.1,54.8,71.2,28,49.6,9.5,11.1,45,16.3,32.1,23
Indian Institute of Science,India,Asia,Small,Specialist,Very High,Public,211,225,45,45.7,26.3,37.9,99.9,3.7,1.5,39.1,13.1,23.7,14
Albert-Ludwigs-Universitaet Freiburg,Germany,Europe,Large,Full Comprehensive,Very High,Public,212,192,44.8,43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5,90,-20
Queensland University of Technology (QUT),Australia,Oceania,Extra Large,Comprehensive,Very High,Public,213,189,44.7,39.8,33.1,8.1,59.9,97.9,20.7,83.4,19,89.4,-24
University of Otago,New Zealand,Oceania,Large,Full Comprehensive,Very High,Public,214,206,44.4,45,24.6,12.8,38.8,100,37.6,79.5,59.1,96,-8
National Cheng Kung University (NCKU),Taiwan,Asia,Large,Full Comprehensive,Very High,Public,215,228,44.2,51.5,74,33.4,20.3,16.3,13.9,58.7,42.4,83.8,13
University of Florida,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,215,168,44.2,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6,-47
La Trobe University,Australia,Oceania,Large,Comprehensive,Very High,Public,217,242,44.1,23.6,19.8,8,77.7,92.6,95,78.6,19.6,78.4,25
University of Maryland  College Park,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,218,169,44,48.6,29.4,32.5,55,20.9,16.2,92.3,41.2,54.4,-49
National Yang Ming Chiao Tung University,Taiwan,Asia,Large,Full Comprehensive,Very High,Public,219,217,43.9,32.9,62.7,51.1,52.7,19.6,19.2,53.7,58.3,38.8,-2
Universidad Nacional de Colombia,Colombia,Americas,Extra Large,Full Comprehensive,High,Public,219,226,43.9,71,89.9,5.4,3.4,5.6,1.4,65.9,42.6,53.1,7
Vrije Universiteit Amsterdam,Netherlands,Europe,Extra Large,Full Comprehensive,Very High,Public,221,207,43.8,39.4,17.8,21.3,63.7,67.3,47.4,89,45.1,50.8,-14
Eberhard Karls Universität Tübingen,Germany,Europe,Large,Full Comprehensive,Very High,Public,222,213,43.7,46,30.7,87.1,20.5,76.1,26.2,93.8,30.9,33,-9
Indian Institute of Technology Kharagpur (IIT-KGP),India,Asia,Large,Foucsed,Very High,Public,222,271,43.7,34,51.1,9,90.2,1.1,1.1,69.3,33,44.3,49
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Europe,Large,Full Comprehensive,Very High,Public,224,229,43.6,25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6,74.5,5
Loughborough University,United Kingdom,Europe,Large,Comprehensive,Very High,Public,224,212,43.6,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8,-12
University of Lausanne,Switzerland,Europe,Large,Foucsed,Very High,Public,224,220,43.6,28.4,18.8,36.8,61,100,54.2,79.8,51.8,51.2,-4
Indian Institute of Technology Madras (IITM),India,Asia,Medium,Comprehensive,Very High,Public,227,285,43.5,42.4,63.2,20.3,70.3,3.9,1.6,37.5,27,44.6,58
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Europe,Large,Full Comprehensive,Very High,Public,227,239,43.5,52.8,24.1,62.7,17.2,44.3,38.9,94.7,35.4,83.2,12
Chulalongkorn University,Thailand,Asia,Extra Large,Full Comprehensive,Very High,Public,229,211,43.4,68.2,35.9,31.7,7.5,18.7,3,79.6,93.6,73.2,-18
Maastricht University,Netherlands,Europe,Large,Foucsed,Very High,Public,230,256,43,23,27.8,13.2,62.8,99.4,100,80.5,38.2,52.5,26
Universite libre de Bruxelles,Belgium,Europe,Extra Large,Full Comprehensive,Very High,Public,230,189,43,33.3,34.5,3,49.9,98.7,84.4,87.5,65.5,25.2,-41
Universidade Estadual de Campinas (Unicamp),Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,232,220,42.9,71.8,40.3,14.7,24.3,10.7,2.7,85.4,25.1,65.9,-12
University of Twente,Netherlands,Europe,Medium,Comprehensive,Very High,Public,233,210,42.7,20.7,32,43.3,61.3,100,90.4,87.6,20,13.8,-23
Technische Universität Dresden,Germany,Europe,Large,Full Comprehensive,Very High,Public,234,246,42.6,36.3,42.5,80.3,28.5,35.8,27.6,93.8,8.8,75.8,12
University of Waikato,New Zealand,Oceania,Medium,Comprehensive,Very High,Public,235,250,42.5,19.1,11.7,12.4,84.7,99,56.9,55.1,46.4,89.5,15
Università di Padova,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,236,219,42.3,58.9,27.3,8.5,45.7,9.2,11.1,94.9,18.8,87.7,-17
University of Aberdeen,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,236,208,42.3,30.5,28.8,32.7,32,94.5,92.6,88.5,22.2,96.5,-28
University of Rochester,United States,Americas,Medium,Full Comprehensive,Very High,Private,236,224,42.3,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,-12
Gadjah Mada University,Indonesia,Asia,Extra Large,Full Comprehensive,Very High,Public,239,263,41.8,54.4,73.5,57.6,1.7,40.3,4.1,38.1,69,26.8,24
Massey University,New Zealand,Oceania,Medium,Comprehensive,Very High,Public,239,239,41.8,30.1,14,48,27.4,98.5,95.2,85.1,49.2,91.4,0
Politecnico di Torino,Italy,Europe,Extra Large,Foucsed,Very High,Public,241,252,41.7,40.2,52.1,3.1,51.6,4.9,41,81.4,30.6,77.9,11
Technical University of Darmstadt,Germany,Europe,Large,Comprehensive,Very High,Public,241,246,41.7,20,35.9,6.7,70,60.3,81.4,65.9,44.4,71.8,5
Dartmouth College,United States,Americas,Medium,Full Comprehensive,Very High,Private,243,237,41.3,22.8,31,65.8,60.6,9.2,40.9,42.5,68.8,71.2,-6
Victoria University of Wellington,New Zealand,Oceania,Large,Comprehensive,Very High,Public,244,241,41.2,42.8,21.4,10.1,32.1,100,31,70.7,71.6,91.4,-3
University of Macau,Macau SAR,Asia,Large,Comprehensive,Very High,Public,245,254,41.1,11.9,10.5,9.8,99.1,100,99.9,57,50.3,7.7,9
Charles University,Czech Republic,Europe,Extra Large,Full Comprehensive,Very High,Public,246,248,41,45.6,49.1,32.2,8,25,50.5,96.3,65.5,77.4,2
University of Sussex,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,246,218,41,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7,-28
Vanderbilt University,United States,Americas,Large,Full Comprehensive,Very High,Private,248,261,40.8,24.4,21.8,100,53,30.1,36,78.6,34.7,24.5,13
University of Navarra,Spain,Europe,Large,Full Comprehensive,High,Private,249,280,40.7,30.6,68,49.6,14.7,24.8,73.8,63.6,75.8,42.3,31
American University of Beirut (AUB),Lebanon,Asia,Medium,Full Comprehensive,Very High,Private,250,226,40.6,28.6,29.5,48.5,28.9,63.2,37,73.1,97,80.5,-24
Taylor's University,Malaysia,Asia,Small,Foucsed,Very High,Semi-Autonomous,251,284,40.5,27,81,71.5,10.1,64.8,99.6,41.4,4.2,22.2,33
Harbin Institute of Technology,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,252,256,40.3,27.1,21.1,33.7,99.8,8,5,68.6,28.3,14.6,4
Hong Kong Baptist University,Hong Kong SAR,Asia,Medium,Comprehensive,Very High,Public,252,295,40.3,18.2,12,60,61.4,98.9,100,37,15.7,54.4,43
University of Göttingen,Germany,Europe,Large,Full Comprehensive,Very High,Public,252,232,40.3,46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3,32.1,-20
Griffith University,Australia,Oceania,Large,Full Comprehensive,Very High,Public,255,243,40.1,27,13.7,8.4,62.5,99.8,38.5,92.1,17.9,96.4,-12
Bandung Institute of Technology (ITB),Indonesia,Asia,Large,Comprehensive,Very High,Public,256,281,39.9,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,25
Heriot-Watt University,United Kingdom,Europe,Medium,Comprehensive,Very High,Public,256,235,39.9,17.8,27.1,17.6,65.2,100,98.1,75.4,26.3,25.7,-21
University of Warsaw,Poland,Europe,Extra Large,Comprehensive,Very High,Public,258,262,39.8,50,53.6,46.4,5.5,10.5,8.4,84.1,60,69.8,4
Case Western Reserve University,United States,Americas,Medium,Full Comprehensive,Very High,Private,259,255,39.7,17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3,53.1,-4
University of Lisbon,Portugal,Europe,Extra Large,Full Comprehensive,Very High,Public,260,266,39.6,44,20.7,10.7,36.5,9,39.4,98.2,94,70.9,6
Canadian University Dubai,United Arab Emirates,Asia,Small,Foucsed,High,Semi-Autonomous,523,551,23.5,20.1,19.9,33.5,2.7,100,100,14,17.4,1.6,28
University of Canterbury | Te Whare Wananga o Waitaha,New Zealand,Oceania,Large,Comprehensive,Very High,Public,261,256,39.4,34.7,27.3,10.4,31.4,100,27.7,63,82.3,91.1,-5
Indian Institute of Technology Kanpur (IITK),India,Asia,Medium,Foucsed,Very High,Public,263,278,39.3,36.9,56.9,14,73.3,2.6,1.1,38.8,19.6,22,15
Norwegian University of Science And Technology,Norway,Europe,Extra Large,Full Comprehensive,Very High,Public,264,292,39.1,33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4,85.8,28
UCSI University,Malaysia,Asia,Medium,Foucsed,Very High,Semi-Autonomous,265,300,38.8,27,65.1,78.1,3.6,89.1,95.8,37.6,10.2,27.9,35
Universitat Pompeu Fabra (Barcelona),Spain,Europe,Medium,Foucsed,Very High,Public,265,310,38.8,31.7,29.4,12.1,67.1,75.6,24.5,74,16.4,27.9,45
University of Antwerp,Belgium,Europe,Large,Full Comprehensive,Very High,Public,267,248,38.7,24.1,11.3,37.5,48.1,94.4,32,94.6,44.8,74.8,-19
University of Witwatersrand,South Africa,Africa,Large,Full Comprehensive,Very High,Public,267,264,38.7,26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9,84.8,-3
Tianjin University,China (Mainland),Asia,Large,Comprehensive,Very High,Public,269,285,38.6,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9,16
Universiti Teknologi PETRONAS (UTP),Malaysia,Asia,Small,Specialist,Very High,Private,269,307,38.6,19.5,28.1,38.5,79,83.9,20.1,63.9,4.1,18.4,38
Beijing Normal University,China (Mainland),Asia,Large,Comprehensive,Very High,Public,271,272,38.5,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,1
Radboud University,Netherlands,Europe,Large,Full Comprehensive,Very High,Public,272,222,38.4,28,14.1,27,66,81.3,18.6,93.9,19.6,39.8,-50
University College Cork,Ireland,Europe,Large,Full Comprehensive,Very High,Public,273,292,38.3,30.1,35.1,22.1,28.5,89,52.1,69.1,34,91,19
University of Galway,Ireland,Europe,Large,Full Comprehensive,Very High,Public,273,289,38.3,26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6,85.9,16
Dalhousie University,Canada,Americas,Large,Full Comprehensive,Very High,Public,275,298,38.2,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,87.9,23
University of Massachusetts Amherst,United States,Americas,Large,Comprehensive,Very High,Public,275,245,38.2,38.2,17.2,10,48.8,61,25.3,79.8,30.6,83.4,-30
University of Pittsburgh,United States,Americas,Large,Full Comprehensive,Very High,Public,275,222,38.2,35,12.7,96.3,31.3,9.5,13.5,91.7,42.6,53.5,-53
University of Porto,Portugal,Europe,Extra Large,Full Comprehensive,Very High,Public,278,253,38.1,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,53.1,-25
Vrije Universiteit Brussel (VUB),Belgium,Europe,Large,Full Comprehensive,Very High,Public,278,259,38.1,23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8,72.1,-19
Ulsan National Institute of Science and Technology (UNIST),South Korea,Asia,Small,Foucsed,Very High,Public,280,266,38,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1,-14
The Hebrew University of Jerusalem,Israel,Asia,Large,Full Comprehensive,Very High,Public,281,251,37.9,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,34.2,-30
University of Strathclyde,United Kingdom,Europe,Large,Comprehensive,Very High,Public,281,276,37.9,25.9,30,16.7,31.8,93,64,85,33.6,88.6,-5
Université Paris 1 Panthéon-Sorbonne,France,Europe,Extra Large,Foucsed,Very High,Public,283,328,37.5,65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8,23.7,45
Southern University of Science and Technology,China (Mainland),Asia,Medium,Foucsed,Very High,Public,284,301,37.3,9.3,2.5,89.7,98.8,37.5,1.4,48.3,1.6,31.6,17
Middle East Technical University,Turkey,Asia,Large,Comprehensive,Very High,Public,285,336,37.2,31.2,70.2,9,22.3,12,18.3,74.7,77.5,69.5,51
Universidad Carlos III de Madrid (UC3M),Spain,Europe,Large,Foucsed,Very High,Public,285,319,37.2,33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,68.3,34
University of Cologne,Germany,Europe,Large,Foucsed,Very High,Public,285,268,37.2,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,91.9,-17
University of Leicester,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,285,272,37.2,19.8,13.7,30.8,43.4,80,95.3,88.8,22.7,75,-13
University of Milan,Italy,Europe,Extra Large,Full Comprehensive,Very High,Public,285,276,37.2,52.8,17,6.4,39.6,6.5,6.8,85.5,44.1,74.8,-9
University of Surrey,United Kingdom,Europe,Large,Comprehensive,Very High,Public,285,244,37.2,19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4,28.4,-41
Swinburne University of Technology,Australia,Oceania,Large,Comprehensive,Very High,Public,291,285,37.1,13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9,15.4,-6
University of Bergen,Norway,Europe,Large,Full Comprehensive,Very High,Public,291,281,37.1,31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9,33.6,-10
The University of Arizona,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,293,285,37,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4,-8
University of Tasmania,Australia,Oceania,Medium,Comprehensive,Very High,Public,293,307,37,16,7.4,22.1,59.8,79.9,89.7,80,15.9,85.6,14
Xian Jiaotong University,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,295,291,36.9,19,39.4,14,89.5,3.9,3.8,80.5,26.4,18.2,-4
Stellenbosch University,South Africa,Africa,Large,Full Comprehensive,Very High,Public,296,283,36.7,26.1,35.8,3.5,61.9,19.7,8,94.8,85.2,22,-13
University of Virginia,United States,Americas,Large,Full Comprehensive,Very High,Public,297,260,36.6,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,35.4,-37
Bauman Moscow State Technical University,Russia,Europe,Large,Comprehensive,Very High,Public,298,319,36.5,36.2,51.9,99.9,1.4,65.6,70,15.2,7.7,6.8,21
Swansea University,United Kingdom,Europe,Large,Full Comprehensive,Very High,Public,298,307,36.5,23.1,43.1,25.1,27.9,71,59.6,82.3,8.3,91.8,9
Huazhong University of Science and Technology,China (Mainland),Asia,Extra Large,Full Comprehensive,Very High,Public,300,275,36.4,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15,-25
Georgetown University,United States,Americas,Large,Full Comprehensive,Very High,Private,301,297,36.3,29.3,41.9,63,14,28,37.3,62.5,90.9,37,-4
Beijing Institute of Technology,China (Mainland),Asia,Extra Large,Foucsed,Very High,Public,302,340,35.9,23.2,24.3,43.4,82,5.7,6.7,68.6,14.3,10.1,38
Université Paris Cité,France,Europe,Extra Large,Foucsed,Very High,Public,302,236,35.9,27.8,6.2,9.2,87,12,35.2,99.2,15.2,18.4,-66
Linköping University,Sweden,Europe,Large,Comprehensive,Very High,Public,304,268,35.8,18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4,41,-36
Universidade Federal do Rio de Janeiro,Brazil,Americas,Extra Large,Full Comprehensive,Very High,Public,304,371,35.8,61.9,23.3,13.7,7.8,7.6,1.5,79.7,81.4,59.6,67
Aalborg University,Denmark,Europe,Large,Full Comprehensive,Very High,Public,306,336,35.7,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,30
University of California  Irvine,United States,Americas,Extra Large,Full Comprehensive,Very High,Public,307,268,35.5,37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,36,-39
Airlangga University,Indonesia,Asia,Extra Large,Full Comprehensive,High,Public,308,345,35.3,37.1,79.1,57,1.5,58,6.7,40.3,18.9,16.3,37
